2025.3.20_时间段,2025.3.20_购电量_kWh,2025.6.21_时间段,2025.6.21_购电量_kWh,2025.9.23_时间段,2025.9.23_购电量_kWh,2025.12.21_时间段,2025.12.21_购电量_kWh
0:00-0:10,6.850513,0:00-0:10,21.638088,0:00-0:10,106.603401,0:00-0:10,77.516008
0:10-0:20,35.542992,0:10-0:20,54.836850,0:10-0:20,98.202908,0:10-0:20,120.744166
0:20-0:30,96.410016,0:20-0:30,113.923346,0:20-0:30,58.901677,0:20-0:30,70.181665
0:30-0:40,36.194204,0:30-0:40,26.949093,0:30-0:40,148.442836,0:30-0:40,0.054719
0:40-0:50,24.870291,0:50-1:00,10.681660,0:40-0:50,185.563466,0:50-1:00,41.001667
0:50-1:00,59.816660,1:00-1:10,3.316261,0:50-1:00,179.950013,1:00-1:10,54.018113
1:00-1:10,103.696757,1:10-1:20,50.937230,1:00-1:10,202.028846,1:10-1:20,77.839221
1:10-1:20,134.235378,1:20-1:30,136.021659,1:10-1:20,135.075426,1:20-1:30,107.359997
1:20-1:30,116.214998,1:30-1:40,73.834635,1:20-1:30,98.043322,1:30-1:40,100.033619
1:30-1:40,86.849565,1:40-1:50,58.051432,1:30-1:40,147.128952,1:40-1:50,72.590127
1:40-1:50,46.500258,1:50-2:00,120.169984,1:40-1:50,154.033126,1:50-2:00,44.878353
1:50-2:00,78.941665,2:00-2:10,80.700201,1:50-2:00,126.464984,2:00-2:10,116.172950
2:00-2:10,50.820978,2:10-2:20,63.655467,2:00-2:10,207.609925,2:10-2:20,98.935808
2:10-2:20,58.024738,2:20-2:30,82.418335,2:10-2:20,219.816070,2:20-2:30,36.553345
2:20-2:30,81.751663,2:30-2:40,26.760535,2:20-2:30,95.131686,2:30-2:40,23.226178
2:30-2:40,82.130790,2:40-2:50,46.603228,2:30-2:40,57.422231,2:40-2:50,58.615608
2:40-2:50,86.499714,2:50-3:00,106.744997,2:40-2:50,85.744407,2:50-3:00,43.403323
2:50-3:00,24.735019,3:00-3:10,106.966751,2:50-3:00,55.123327,3:00-3:10,152.070997
3:00-3:10,90.674981,3:10-3:20,94.203831,3:00-3:10,61.417840,3:10-3:20,97.959136
3:10-3:20,122.547453,3:20-3:30,83.630003,3:10-3:20,97.967982,3:20-3:30,27.444989
3:20-3:30,124.114989,3:30-3:40,37.501638,3:20-3:30,117.098332,3:30-3:40,131.618686
3:30-3:40,72.444250,3:40-3:50,38.154092,3:30-3:40,86.968587,3:40-3:50,187.836656
3:40-3:50,74.062993,3:50-4:00,59.175018,3:40-3:50,85.650591,3:50-4:00,87.926652
3:50-4:00,68.666654,4:00-4:10,103.604452,3:50-4:00,95.046668,4:00-4:10,59.650963
4:00-4:10,56.565385,4:10-4:20,74.444958,4:00-4:10,55.593199,4:10-4:20,54.819847
4:10-4:20,51.905172,4:20-4:30,44.836660,4:10-4:20,50.421780,4:20-4:30,38.683330
4:20-4:30,70.601683,4:30-4:40,42.340694,4:20-4:30,85.406668,4:30-4:40,55.758216
4:30-4:40,90.392085,4:40-4:50,62.078645,4:30-4:40,71.007181,4:40-4:50,30.510078
4:40-4:50,74.329038,4:50-5:00,89.274183,4:40-4:50,53.688685,4:50-5:00,66.186677
4:50-5:00,72.970000,5:00-5:10,87.440557,4:50-5:00,104.031659,5:00-5:10,85.652500
5:00-5:10,90.967730,5:10-5:20,61.093741,5:00-5:10,119.954655,5:10-5:20,129.720966
5:10-5:20,120.433064,6:00-6:10,8.011287,5:10-5:20,107.695121,5:20-5:30,83.233345
5:20-5:30,81.800018,6:10-6:20,11.823580,5:20-5:30,53.354992,5:30-5:40,48.521918
5:30-5:40,79.129204,18:40-18:50,22.247083,5:30-5:40,91.148623,5:40-5:50,91.869507
5:40-5:50,67.786522,18:50-19:00,89.402910,5:40-5:50,100.038799,5:50-6:00,156.186702
5:50-6:00,75.946641,19:00-19:10,118.043801,5:50-6:00,77.609987,6:00-6:10,86.900302
6:00-6:10,73.646711,19:10-19:20,71.620045,6:00-6:10,61.390573,6:10-6:20,77.392575
8:10-8:20,48.126364,19:20-19:30,7.484989,6:10-6:20,36.846991,6:20-6:30,134.490023
8:20-8:30,32.273955,19:30-19:40,46.962811,6:20-6:30,7.267202,6:30-6:40,69.699805
8:30-8:40,7.112532,19:40-19:50,54.278016,6:50-7:00,0.878271,6:40-6:50,44.548580
9:00-9:10,0.718907,19:50-20:00,7.111675,7:00-7:10,8.074803,6:50-7:00,78.536670
9:10-9:20,1.574845,20:10-20:20,28.024686,7:40-7:50,2.791699,7:00-7:10,46.146017
11:10-11:20,49.208573,20:20-20:30,83.120015,9:30-9:40,38.953144,7:10-7:20,2.191337
11:20-11:30,59.014388,20:30-20:40,47.400356,9:40-9:50,37.123127,10:30-10:40,39.651196
12:30-12:40,39.239740,21:00-21:10,5.400782,10:00-10:10,25.978404,10:40-10:50,64.085734
12:40-12:50,4.669507,21:10-21:20,85.653462,10:10-10:20,19.357918,10:50-11:00,33.098272
15:20-15:30,36.515465,21:20-21:30,134.803346,10:50-11:00,11.901894,11:00-11:10,82.976051
15:30-15:40,27.843221,21:30-21:40,77.562939,14:00-14:10,9.733992,11:10-11:20,105.955414
15:40-15:50,34.573625,21:40-21:50,77.065721,14:10-14:20,2.410786,11:20-11:30,50.126178
15:50-16:00,68.729074,21:50-22:00,77.141654,14:20-14:30,32.237826,16:40-16:50,30.258959
16:00-16:10,68.876052,22:00-22:10,51.135493,14:30-14:40,81.125880,16:50-17:00,88.046667
16:10-16:20,24.117225,22:10-22:20,64.903030,14:40-14:50,109.519512,17:00-17:10,53.037822
16:20-16:30,6.229394,22:20-22:30,89.956675,14:50-15:00,127.655195,17:10-17:20,45.251195
16:30-16:40,7.713659,22:30-22:40,31.678107,15:00-15:10,87.016093,17:20-17:30,153.046628
16:40-16:50,18.457438,22:40-22:50,3.982312,15:10-15:20,16.617777,17:30-17:40,48.956718
17:20-17:30,12.580155,22:50-23:00,34.883319,15:50-16:00,74.303773,17:40-17:50,94.473251
17:30-17:40,10.639090,23:00-23:10,60.925256,16:00-16:10,50.582918,17:50-18:00,95.463330
17:50-18:00,36.511659,23:10-23:20,51.829701,16:10-16:20,8.921479,18:00-18:10,78.404847
18:00-18:10,36.489837,23:20-23:30,69.351676,16:20-16:30,40.448633,18:10-18:20,83.956410
18:10-18:20,59.618357,23:30-23:40,47.221184,16:30-16:40,56.464273,18:20-18:30,102.501660
18:20-18:30,49.983325,23:40-23:50,53.406476,16:40-16:50,20.512543,18:30-18:40,105.348412
18:30-18:40,44.925177,23:50-24:00,15.001686,17:00-17:10,14.728036,18:40-18:50,123.868169
18:40-18:50,75.231210,,,17:10-17:20,30.222359,18:50-19:00,105.471678
18:50-19:00,93.716677,,,17:20-17:30,45.463747,19:00-19:10,71.000201
19:00-19:10,64.400569,,,17:30-17:40,85.667273,19:10-19:20,54.474436
19:10-19:20,54.439663,,,17:40-17:50,126.382358,19:20-19:30,110.100002
19:20-19:30,28.716670,,,17:50-18:00,64.864971,19:30-19:40,69.562774
19:30-19:40,20.943480,,,18:00-18:10,87.159928,19:40-19:50,113.247674
19:40-19:50,18.840609,,,18:10-18:20,175.181043,19:50-20:00,152.344993
19:50-20:00,52.104987,,,18:20-18:30,225.488322,20:00-20:10,80.084598
20:00-20:10,86.560231,,,18:30-18:40,153.459943,20:10-20:20,34.924115
20:10-20:20,89.664316,,,18:40-18:50,136.644648,20:20-20:30,32.124998
20:20-20:30,67.498353,,,18:50-19:00,173.695018,20:30-20:40,53.947679
20:30-20:40,31.640352,,,19:00-19:10,178.747606,20:40-20:50,55.123694
20:40-20:50,20.058070,,,19:10-19:20,204.860434,20:50-21:00,31.564989
20:50-21:00,21.076660,,,19:20-19:30,199.504980,21:00-21:10,79.322349
21:00-21:10,59.662970,,,19:30-19:40,90.004644,21:10-21:20,90.242056
21:10-21:20,94.067991,,,19:40-19:50,49.275297,21:20-21:30,60.650011
21:20-21:30,83.280013,,,19:50-20:00,162.191655,21:30-21:40,82.170156
21:30-21:40,70.465880,,,20:00-20:10,181.567480,21:40-21:50,141.823981
21:40-21:50,91.763909,,,20:10-20:20,201.602449,21:50-22:00,150.551652
21:50-22:00,88.823333,,,20:20-20:30,168.716675,22:00-22:10,66.582266
22:00-22:10,46.448016,,,20:30-20:40,148.684549,22:10-22:20,31.519686
22:10-22:20,28.392505,,,20:40-20:50,177.973364,22:20-22:30,59.846663
22:20-22:30,47.825018,,,20:50-21:00,197.301668,22:30-22:40,40.223932
22:30-22:40,15.496506,,,21:00-21:10,153.335337,22:40-22:50,66.442582
22:40-22:50,39.479332,,,21:10-21:20,190.019703,22:50-23:00,109.291672
22:50-23:00,90.889990,,,21:20-21:30,277.161655,23:00-23:10,88.971895
23:00-23:10,15.202131,,,21:30-21:40,204.007276,23:10-23:20,53.455193
23:10-23:20,2.743737,,,21:40-21:50,172.214780,23:20-23:30,28.451686
23:20-23:30,76.705000,,,21:50-22:00,189.626675,23:30-23:40,104.253592
23:30-23:40,121.660005,,,22:00-22:10,78.450396,23:40-23:50,103.432460
23:40-23:50,79.316562,,,22:10-22:20,85.971210,23:50-24:00,96.071671
23:50-24:00,46.488322,,,22:20-22:30,208.816652,,
,,,,22:30-22:40,176.916647,,
,,,,22:40-22:50,106.424183,,
,,,,22:50-23:00,126.556665,,
,,,,23:00-23:10,75.234521,,
,,,,23:10-23:20,88.386698,,
,,,,23:20-23:30,186.208341,,
,,,,23:30-23:40,170.776000,,
,,,,23:40-23:50,71.383166,,
,,,,23:50-24:00,2.676658,,
